part_number,description,upc
1001-1510,"COUPLING 15""CLAY-10""CLAY",018578012820
1001-1512,"COUPLING 15""CLAY-12""CLAY",018578004801
1001-1512RC,COUPLING 15X12 CLAY-CLAY,018578025080
1001-1515,"COUPLING 15""CL-15""CL",018578001725
1001-1515-GPQ,"COUPLING 15""CL-15""CL",018578048720
1001-1515A,"COUPLING 15""CL-15""CL 316SS",018578025097
1001-1515RC,COUPLING 15X15 CLAY-CLAY,018578011984
1001-1515WC,"COUPLING 15""WC CL-15""WC CL",#N/A
1001-1515WCRC,COUP 15 WC CL - 15 WC CL RC,018578047747
1001-1818,"COUPLING 18""CL-18""CL",018578002593
1001-1818-GPQ,"COUPLING 18"" CLAY - 18"" CLAY",018578048737
1001-1818RC,"COUPLING 18""CL-18""CL RC",018578012318
1001-2121,"COUPLING 21""CL-21""CL",018578004818
1001-2121RC,"COUPLING 21""CL-21""CL RC",018578014114
1001-2424,"COUPLING 24""CL-24""CL",018578004825
1001-2424A,"COUPLING 24""CL-24""CL 316 BANDS",018578025165
1001-2424RC,"COUPLING 24""CL-24""CL",018578017771
1001-2727,"COUPLING 27""CL-27""CL",018578004832
1001-2727RC,"COUPLING 27""CL-27""CL RC",018578025219
1001-44,"COUPLING 4"" CLAY",018578015227
1001-44-WB,"COUPLING 4"" CLAY",#N/A
1001-44A,"COUPLING 4"" CLAY/CLAY 316SS",018578025226
1001-44HT,"COUPLING 4"" CLAY HT",018578025233
1001-44RC,COUPLING 4X4 CLAY RC,018578005549
1001-44WC,"COUPLING 4"" WEST COAST CLAY",018578009523
1001-44WCRC,"COUPLING 4"" WEST COAST CLAY",018578011632
1001-54,"COUPLING 5""CLAY-4""CLAY",018578004757
1001-55,"COUPLING 5"" CLAY/CLAY",018578004764
1001-55RC,COUPLING 5 X 5 CLAY RC,018578040687
1001-64,"COUPLING 6""CLAY-4""CLAY",018578001596
1001-64EB,"COUPLING 6""CLAY-4""CLAY EB",018578025264
1001-64RC,"COUPLING 6""CLAY-4""CLAY RC",018578014336
1001-64WC,"COUPLING 6""CLAY-4""CLAY SR WEST",018578018662
1001-65,"COUPLING 6""CLAY-5""CLAY",018578004771
1001-66,"COUPLING 6"" CLAY/CLAY",018578015234
1001-66-GPQ,"COUPLING 6"" CLAY/CLAY",#N/A
1001-66-WF,"COUPLING 6"" CLAY/CLAY",#N/A
1001-662,"COUPLING 6"" CLAY/CLAY XL",#N/A
1001-66A,COUPLING 6X6 CLAY  316SS,018578025271
1001-66HT,"COUPLING 6"" CLAY/CLAY HT",018578025295
1001-66RC,"COUPLING 6"" CLAY/CLAY",018578005556
1001-66RC-WF,"COUPLING 6"" CLAY/CLAY",#N/A
1001-66WC,"COUPLING 6""WC CLAY-6""WC CLAY",018578011649
1001-66WCA,"COUPLING 6""WC CLAY-6 316SS",018578025318
1001-66WCRC,"COUPLING 6"" WC CLAY/CLAY RC",018578011557
1001-84,COUPLING 8X4 CLAY/CLAY,018578025349
1001-84WCEB,COUPLING 8X4 CLAY/CLAY WEST CO,#N/A
1001-86,COUPLING 8X6 CLAY/CLAY,018578047365
1001-86EB,COUPLING 8X6 CLAY/CLAY ECCENTR,018578025356
1001-86RC,COUPLING 8X6 CLAY/CLAY RC,018578025363
1001-86WC,COUPLING 8X6 CLAY/CLAY WEST CO,018578011427
1001-86WCRC,"COUPLING 8""WC CLAY-6""WC CLAY R",018578025370
1001-88,"COUPLING 8"" CLAY/CLAY",018578001640
1001-88-WB,"COUPLING 8"" CLAY/CLAY",#N/A
1001-882,"COUPLING 8X8X10"" CLAY/CLAY",#N/A
1001-88A,"COUPLING 8"" CLAY/CLAY 316SS",018578030015
1001-88HT,"COUPLING 8"" CLAY/CLAY HT",018578025394
1001-88RC,"COUPLING 8"" CLAY/CLAY",018578005563
1001-88WC,"COUPLING 8""WC CLAY-8""WC CLAY",018578009028
1001-88WCHTRC,"COUPLING 8""X8"" WC CLAY HT RC",#N/A
1001-88WCRC,"COUPLING 8""WC CLAY-8""WC CLAY",018578011564
1002-10-4,COUPLING 10X4 CLAY-CI/PL,018578007536
1002-10-4EB,COUPLING 10X4 CLAY-CI/PL,018578001619
1002-10-4RC,COUPLING 10X4 CLAY-CI/PL SCH40,018578047129
1002-10-4SDRRC,COUPLING 10X4 CLAY-CI/PL SDR35,018578047112
1002-10-6,"COUPLING 10""CLAY-6""CI/PL",018578007529
1002-10-6EB,"COUPLING 10""CLAY-6""CI/PL EB",018578025431
1002-10-6OS,COUPLING 10X6 CLAY-CI/PL,018578025448
1002-10-6SDRRC,"COUPLING 10""CLAY-6""CI/PL SDR35",018578047105
1002-10-8,"COUPLING 10""CLAY-8""CI/PL",018578003507
1002-10-8EB,"COUPLING 10""CLAY-8""CI/PL EB",018578025479
1002-10-8EBRC,"COUPLING 10""CLAY-8""CI/PL EB RC",#N/A
1002-10-8OS,COUPLING 10X8 CLAY-CI/PL OLD,018578017634
1002-10-8RC,"COUPLING 10""CLAY-8""CI/PL SCH40",018578014756
1002-10-8SDRRC,"COUPLING 10""CLAY-8""CI/PL SDR35",018578047099
1002-1010,"COUPLING 10"" CLAY-CI/PL",018578002258
1002-1010-GPQ,"COUPLING 10"" CLAY-CI/PL",#N/A
1002-1010-WF,"COUPLING 10"" CLAY-CI/PL",#N/A
1002-10102RC,"COUP 10""CL X 10""PL XL",018578046047
1002-1010A,"COUPLING 10""CLAY-CI/PL 316",018578020726
1002-1010EB,"COUPLING 10""CLAY-10""CLAY EB",018578007253
1002-1010EBRC,"COUPLING 10""CLAY-10""CI/PL RC",018578047143
1002-1010OS,COUPLING 10X10 CLAY-CI/PL OLD,018578010093
1002-1010OSRC,"Coupling 10"" Clay/Plastic OS RC",#N/A
1002-1010RC,"COUPLING 10""CLAY-10""CI/PL",018578005648
1002-1010SRA,"COUPLING 10""CL-10""CI/PL SR316",018578025530
1002-1010WC,"COUPLING 10""CLAY-10""CI/PL WEST",018578014923
1002-1010WCRC,"COUPLING 10""CLAY-10""CI/PL WEST",018578017054
1002-1012RC,"COUPLING 10""CLAY-12""CI/PL RC",018578047082
1002-1015EB,"COUPLING 10""CL-15""CI/PL EB",018578048065
1002-1015OSRC,"COUP 15""CI/PL X 10"" O.S.CL RC",#N/A
1002-12-4,"COUPLING 12""CLAY-4""CI/PL",018578020511
1002-12-6,"COUPLING 12""CLAY-6""CI/PL",018578008342
1002-12-6EB,"COUPLING 12""CLAY-6""CI/PL EB",018578019119
1002-12-8,"COUPLING 12""CLAY-8""CI/PL",018578006324
1002-12-8EB,"COUPLING 12CLAY-8""CI/PL EB",018578008540
1002-12-8RC,COUPLING 12X8 CLAY-CI/PL RC,018578025578
1002-1210,"COUPLING 12""CLAY-10""CI/PL",018578001732
1002-1210EB,COUPLING 12X10 CLAY-CI/PL EB,018578025592
1002-1210EBRC,COUPLING 12X10 CLAY-CI/PL RC,018578047150
1002-1210RC,COUPLING 12X10 CLAY-CI/PL RC,018578012349
1002-1212,COUPLING 12 CLAY-CI/PL,018578001749
1002-1212-GPQ,COUPLING 12 CLAY-CI/PL,#N/A
1002-12122,"COUPLING 12CL X 12PL X 10""",#N/A
1002-12122RC,"COUPLING 12CL X 12PL X 10"" RC",018578046054
1002-1212A,COUPLING 12 CLAY-CI/PL 316SS,018578020207
1002-1212EB,COUPLING 12X12 CLAY-CI/PL EB,018578025639
1002-1212HT,COUPLING 12 CLAY-CI/PL HT,018578025646
1002-1212RC,"COUPLING 12""CLAY-12""CI/PL",018578005655
1002-1212SRA,COUPLING 12X12 CL-CI/PL SR316,018578025653
1002-1212WC,"COUPLING 12""CLAY-12""CI/PL WEST",018578011694
1002-1212WCRC,"COUPLING 12""CLAY-12""CI/PL RC W",018578014091
1002-1215,COUPLING 12X15 CLAY-CI/PL,018578003620
1002-1215A,COUPLING 12X15 CLAY-CI/PL,018578025677
1002-1215EB,COUPLING 12X15 CLAY-CI/PL EB,018578025684
1002-1215RC,"COUPLING 12""CL-15""CI/PL  RC",018578017306
1002-15-4,COUPLING 15X4 CLAY-CI/PL,018578025691
1002-15-6,COUPLING 15X6 CLAY-CI/PL,018578025707
1002-15-6EB,"COUPLING 15""Clay-6""CI/PL Eccen",018578020528
1002-15-8,COUPLING 15X8 CLAY-CI/PL,018578001169
1002-15-8EB,"Coupling 15""Clay-8""CI/PL Eccen",018578025714
1002-1510,COUPLING 15X10 CLAY-CI/PL,018578018518
1002-1510RC,"COUPLING 15""CLAYX10""CI/PL",018578017061
1002-1512,"COUPLING 15""CLAY-12""CI/PL",018578004320
1002-1512EB,"COUPLING 15""CLAY-12""CI/PL",018578019812
1002-1512RC,COUPLING 15X12 CLAY-CI/PL RC,018578025738
1002-1515,"COUPLING 15"" CLAY-CI/PL",018578002265
1002-1515-GPQ,"COUPLING 15"" CLAY-CI/PL",018578048775
1002-1515A,"COUPLING 15"" CLAY-CI/PL 316",018578025745
1002-1515EB,COUPLING 15X15 CLAY-CI/PL EB,018578015081
1002-1515RC,COUPLING 15X15 CLAY-CI/PL RC,018578009462
1002-1515WC,"COUPLING 15"" CLAY-CI/PL WEST C",018578025783
1002-1515WCRC,"COUPLING 15""WCCLAY-15""CI/PL RC",018578025790
1002-1818,"COUPLING 18""CLAY-18""CI/PL",018578001756
1002-1818-GPQ,"COUPLING 18""CLAY-18""CI/PL",018578048973
