part_number,description,upc
4.500-3.500REB,4.500 x 3.500 ECC. REDUCER,#N/A
4.500-3.960R,4.500 x 3.960 REDUCER BUSHING,018578047990
4.500-4.000REB,4.500 X 4.000 ECC REDUCER,018578042070
4.500-4.170R,4.500 X 4.170 REDUCER,018578046917
4.900-2.125R,4.900 X 2.125 REDUCER,018578040311
4.900-2.380R,4.900 X 2.380 REDUCER,018578033825
4.900-3.000R,4.900 X 3.000 REDUCER,018578033832
4.900-3.125R,4.900 X 3.125 REDUCER,018578018037
4.900-3.380R,4.900 X 3.380 REDUCER,018578033849
4.900-3.380REB,4.900 X 3.380 ECC REDUCER,018578033856
4.900-3.500R,4.900 X 3.500 REDUCER,018578006065
4.900-3.500REB,4.900 X 3.500 ECC REDUCER,#N/A
4.900-3.960R,4.900 X 3.960 REDUCER,018578048850
4.900-4.170R,4.900 X 4.170 REDUCER,018578033863
4.900-4.380R,4.900 X 4.380 REDUCER,018578019454
4.900-4.380REB,4.900 X 4.380 ECC REDUCER,018578033870
4.900-4.500R,4.900 X 4.500 REDUCER,018578017658
404-205,4X2 DONUT,#N/A
404-301,4X3 DONUT,018578034051
404-305,4X3 DONUT,018578034068
404-401,4X4 DONUT,018578019249
404-405,4X4 DONUT,018578005327
404-425,4x4 Donut,018578034075
406-305,4X3 DONUT,018578020375
406-401,4X4 DONUT,018578006461
406-405,4X4 DONUT,018578015166
406-P,"PLUG 4"" HUB",#N/A
408-205,4X2 DONUT,018578034112
408-305,4X3 DONUT,018578008472
408-401,4X4 DONUT,018578001275
408-403,4X4 DONUT,018578006683
408-405,4X4 DONUT,018578002852
408-P,"PLUG 4"" BELL",018578034105
409-117,4X1 1/2 DONUT,018578034150
409-131,4X1 1/2 DONUT,018578034167
409-139,4X1 1/2 DONUT,018578009684
409-205,4X2 DONUT,018578018549
409-217,4x2 Donut,018578034174
409-301,4X3 DONUT,018578034181
409-303,4X3 DONUT,018578034198
409-305,4X3 DONUT,018578017818
409-P,4 X PLUG,018578034143
410-205,4X2 DONUT,018578019829
410-305,4X3 DONUT,018578034235
410-401,4X4 DONUT,018578034242
410-405,4X4 DONUT,018578006478
412-205,4X2 DONUT,018578039445
412-303,4X3 DONUT,#N/A
412-305,4X3 DONUT,018578018488
412-401,4X4 DONUT,018578034266
412-403,4X4 DONUT,018578018495
412-405,4X4 DONUT,018578034273
412-425,4X4 DONUT,018578034280
416-205,6X2 DONUT,018578034310
416-305,6X3 DONUT,018578007390
416-401,6X4 DONUT,018578004436
416-403,6X4 DONUT,018578017740
416-405,6X4 DONUT,018578003927
416-407,6X4 DONUT,018578034334
416-417,6x4 Donut,018578034341
416-429,6X4 DONUT,018578034358
428-305,4X3 DONUT,018578034389
428-401,4X4 DONUT,018578034402
428-405,4X4 DONUT,018578018655
430-139,6X1.5 DONUT,018578034433
430-205,6X2 DONUT,018578034440
430-305,6X3 DONUT,018578034464
430-361,6X3 DONUT,018578034488
430-401,6X4 DONUT,018578034495
430-403,6X4 DONUT,018578034501
430-405,6X4 DONUT,018578016859
430-417,6X4 DONUT,#N/A
430-501,6X5 DONUT,018578034518
430-505,6X5 DONUT,018578034525
432-205,4X2 DONUT,018578034563
432-305,4X3 DONUT,018578007659
432-401,4X4 DONUT,018578002081
432-403,4X4 DONUT,018578009622
432-405,4X4 DONUT,018578002098
432-417,4X4 DONUT,018578034594
440-117,6 X 1 1/2 DONUT,#N/A
440-201,6X2 DONUT,018578034754
440-205,6X2 DONUT,018578034761
440-301,6X3 DONUT,018578034778
440-305,6X3 DONUT,018578020320
440-401,6X4 DONUT,018578002999
440-403,6X4 DONUT,018578018457
440-405,6X4 DONUT,018578006492
440-425,6X4 DONUT,018578034792
440-429,6X4 DONUT,018578039056
440-437,6X4 DONUT,018578034808
440-501,6X5 DONUT,018578034815
440-505,6X5 DONUT,018578034822
440S-205,6x4 Donut,018578034839
440S-305,6 X 3 DONUT,018578039230
440S-401,6X4 DONUT,018578034846
440S-405,6X4 DONUT,018578034853
440S-503,6X5 DONUT,#N/A
444-P,"PLUG 4"" STUB",018578034860
444-SW-HP,"PLUG 4"" SV CI HUB",018578034877
44S-205,4X2 DONUT,018578001046
44S-303,4 X 3 DONUT,018578040250
44S-305,4X3 DONUT,018578034617
44S-361,4X3 DONUT,018578034624
44S-401,4X4 DONUT,018578001428
44S-405,4X4 DONUT,018578003941
44U-117,4X11/4 DONUT,018578034648
44U-131,4X1 1/2 DONUT,018578034655
44U-139,4X1 1/2 DONUT,018578016132
44U-150,4 x 3 Donut,018578034662
44U-201,4X2 DONUT,018578001909
44U-205,4X2 DONUT,018578016149
44U-205-WF,4X2 DONUT,#N/A
44U-217,4X2 DONUT,018578034679
44U-260,4X2 DONUT,018578034686
44U-301,4X3 DONUT,018578016156
44U-303,4X3 DONUT,018578013674
44U-305,4X3 DONUT,018578016163
44U-305-WF,4X3 DONUT,#N/A
44U-317,4X3 DONUT,018578008755
44U-401,4X4 DONUT,018578016170
44U-403,4X4 DONUT,018578004443
44U-405,4X4 DONUT,018578016187
44U-405-WF,4X4 DONUT,#N/A
44U-417,4X4 DONUT,018578008762
44UX-139,4X1 1/2 DONUT,018578016194
44UX-150,4 X 1 1/2 DONUT,018578003477
44UX-201,4X2 DONUT,018578034716
44UX-205,4X2 DONUT,018578016200
44UX-217,4X2 DONUT,018578034723
44UX-301,4X3 DONUT,018578003804
44UX-303,4X3 DONUT,018578034730
44UX-305,4X3 DONUT,018578016217
44UX-305-WF,4X3 DONUT,#N/A
44UX-317,4X3 DONUT,018578003040
44UX-401,4X4 DONUT,018578016224
44UX-403,4X4 DONUT,018578003057
44UX-405,4X4 DONUT,018578016231
44UX-417,4X4 DONUT,018578034747
44UX-423,4X4 DONUT,#N/A
44UX-P,"4"" XHCI HUB PLUG",018578040632
450-316HTF,SIZE 450 HT CLAMP FLAT 316SS,018578034891
481-3.38,"BUSHING, CENTER STOP",018578034914
481-3.50,"BUSHING, CENTER STOP",018578034921
481-4.25,"BUSHING, CENTER STOP",018578006140
481-4.38,"BUSHING, CENTER STOP",018578006034
481-4.50,"BUSHING, CENTER STOP",018578004740
481-4.63,"BUSHING, CENTER STOP",018578006041
481-4.90,"BUSHING, CENTER STOP",018578006058
490-111D,4X4 DONUT,018578034938
490-139,4X2 DONUT,018578046566
490-205,4X2 DONUT,018578014565
490-305,4X3 DONUT,018578003828
490-401,4X4 DONUT,018578004450
490-405,4X4 DONUT,018578003835
490-407,4X4 DONUT,018578034969
490-417,4X4 DONUT,018578034976
490-429F,4X4 DONUT,018578034990
490-501,4X5 DONUT,018578035003
490FT-401,4X4 DONUT,018578035010
4CMA,"4"" CMA",018578004429
4UTP,"PLUG 4"" SPIGOT",018578033955
5.240-1.625R,5.240 X 1.625 REDUCER,#N/A
5.240-2.125R,5.240 X 2.125 REDUCER,#N/A
5.240-2.380R,5.240 X 2.380 REDUCER,018578020566
5.240-2.380REB,5.240X2.380 ECCENTRIC BUSHING,018578012608
5.240-3.380R,5.240 X 3.380 REDUCER,018578035041
5.240-3.380REB,5.240 X 3.380 ECCENTRIC,018578035058
5.240-3.500R,5.240 x 3.500 Reducer Bushing,018578035065
5.240-3.500REB,5.240 x 3.500 ECC REDUCER,#N/A
5.240-4.170R,5.240 X 4.170 REDUCER,018578035072
5.240-4.380R,5.240 X 4.380 REDUCER,018578006560
5.240-4.380REB,5.240-4.380 ECCENTRIC REDUCER,018578035089
5.240-4.500R,5.240 X 4.500 REDUCER,018578035096
5.240-4.500REB,5.240-4.500 ECCENTRIC REDUCER,018578035102
5.240-5.000R,5.240 X 5.000 REDUCER,018578035112
5.620-1.900R,5.620X2.1.900 REDUCER,018578035126
5.620-2.380R,5.620X2.380 REDUCER,018578035133
5.620-3.000R,5.620 X 3.000 REDUCER,#N/A
5.620-3.380R,5.620 X 3.380 REDUCER,018578035157
5.620-3.380REB,5.620 X3.380 ECCENTRIC REDUCER,018578035164
5.620-3.500R,5.620 X3.500 REDUCER,018578035171
5.620-3.960R,5.620 X 3.960 REDUCER,#N/A
5.620-4.170R,5.620 X 4.170 REDUCER,018578035195
5.620-4.380R,5.620 X 4.380 REDUCER,018578019126
5.620-4.380REB,5.620X4.380 ECCENTRIC REDUCER,018578035201
5.620-4.500R,5.620 X 4.500 REDUCER,018578035218
5.620-4.500REB,5.620X4.500 ECCENTRIC REDUCER,018578014237
5.620-5.000R,5.620 X 5.000 REDUCER,018578018914
5.620-5.125R,5.620 X 5.125 REDUCER,018578035225
500-316HTF,SIZE 500 HT CLAMP FLAT 316SS,018578035249
5001-1010RC,"NBC COUPLING 10"" CLAY/CLAY RC",018578012288
5001-1010WCRC,"NBC COUPLING 10"" CLAY/CLAY RC",018578019225
5001-1212RC,"NBC COUPLING 12"" CLAY/CLAY RC",018578012295
5001-1212WCRC,"NBC COUPL 12""CLAY-12""CLAY RC",018578019218
5001-1515RC,NBC COUPLING 15X15 CLAY-CLAY,018578013872
5001-1818RC,"NBC COUPLING 18""CL-18""CL RC",018578013889
5001-2727RC,"NBC COUPLING 27"" CL-27"" CL RC",018578047693
5001-44RC,NBC COUPLING 4X4 CLAY RC,018578009936
5001-44WCRC,"NBC COUPL 4"" WEST COAST CLAY",018578011311
5001-55RC,NBC COUPLING 5 X 5 CLAY RC,018578048232
5001-66RC,"NBC COUPLING 6"" CLAY/CLAY",018578009745
5001-66WCRC,"NBC COUP. 6"" WC CLAY/CLAY RC",018578009790
5001-88RC,"NBC COUPLING 8"" CLAY/CLAY RC",018578009837
5001-88WCRC,"NBC COUP. 8""WC CLAY-8""WC CLAY",018578009868
5002-10-8RC,"NBC COUP 10""CLAY - 8""CI/PL RC",018578046733
5002-1010RC,"NBC COUPLING 10""CLAY-10""CI/PL",018578009998
5002-1010SDRRC,"NBC COUP 10""CLAY-10"" SDR",#N/A
5002-1010WCRC,"NBC COUPL 10""CLAY-10""CI/PL",018578019232
5002-1210RC,NBC COUP 12X10 CLAY-CI/PL RC,#N/A
5002-1212RC,"NBC COUPLING 12""CLAY-12""CI/PL",018578010017
5002-1212SDRRC,"NBC COUP 12""CLAY-12"" SDR",#N/A
5002-1212WCRC,"NBC COUPL 12""CLAY-12""CI/PL RC",018578019300
5002-1215RC,"NBC COUP 12""CL-15""CI/PL RC",#N/A
5002-1515RC,NBC COUPL 15X15 CLAY-CI/PL RC,018578010055
5002-1515SDRRC,"NBC COUP 15"" CLAY - 15"" SDR RC",#N/A
5002-1515WCRC,"COUP 15""WCCLAY-15""CI/PL RC NBC",#N/A
5002-1818RC,NBC COUPL 18X18 CLAY-CI/PL RC,018578010079
5002-2121RC,"COUPLING 21""CI/PL-21""CLAY NBC",018578041004
5002-2424RC,"COUPLING 24""CI/PL-24""CLAYNBC",018578041011
5002-2727RC,"NBC COUPL 27""CLAY-27""CI\PL RC",#N/A
5002-43RC,NBC COUPLING 4X3 CLAY-CI/PL RC,018578011496
5002-44RC,NBC COUPLING 4X4 CLAY-CI/PL RC,018578009929
5002-44SDRRC,NBC 4X4 CLAY-CI/PL RC SDR,018578019324
5002-44WCRC,NBC COUP. 4X4 WC CLAY-CI/PL RC,018578009943
5002-46RC,NBC COUPLING 4X6 CLAY-CI/PL RC,018578013902
5002-46WCRC,NBC COUPLING 4X6 CLAY-CI/PL RC,018578004146
5002-54EBRC,"NBC COUP 5""CLAY-4""CI/PL EB RC",018578048188
5002-55RC,"NBC COUPLING 5""CLAY-5""CI/PL RC",018578013896
5002-64RC,"NBC COUPLING 6""CLAY-4""CI/PL",018578009752
5002-64SDRRC,"NUT&BOLT 6""CLAY-4""CI/PL SDR35",018578040984
5002-64WCRC,"NBC COUPLING 6""WC CLAY-4""PL RC",018578011298
5002-65RC,"NBC COUP 6""CLAY-5""CI/PL RC",018578048324
5002-66RC,"NBC COUP 6"" CLAY- 6"" CI/PL RC",018578009738
5002-66SDRRC,"NBC Coup 6""Clay-6""CI/SDR RC",018578019317
5002-66WCRC,NBC COUP 6X6 WC CLAY-CI/PL RC,018578009783
5002-68RC,"NBC COUP 6""CLAY-8""CI/PL RC",018578040274
5002-8-10RC,"NBC Coupling 8""Clay-10""CI/PL RC",#N/A
5002-86RC,"NBC COUP. 8"" CLAY- 6"" CI/PL RC",018578013612
5002-86WCRC,"NBC COUP. 8"" WC CLAY-6"" PL/CI",#N/A
5002-88RC,"NBC COUP 8"" CLAY 8"" XHCI/SCH40",018578009844
5002-88S40RC,"NBC COUPLING 8"" CLAY/CLAY RC",018578047204
5002-88SDRRC,"NBC Coup 8""Clay-8""NH/SW/SDR RC",018578040397
5002-88WCRC,NBC COUP. 8X8 WC CLAY-CI/PL RC,018578009851
5003-10-8OSRC,"NBC COUP 10""OS CLAY-8""AC/DI RC",#N/A
5003-1010RC,"NBC COUPLING 10""CLAY-10""AC/DI",018578012271
5003-1210RC,"NBC COUP 12"" CLAY/10""AC/DI RC",018578047914
5003-1212RC,"NBC COUPLING 12""CLAY-12""AC/DI",018578011526
5003-1516RC,"NBC COUPLING 15""CL-16""AC/DI RC",018578013919
5003-44RC,"NBC COUP 4""CLAY- 4"" AC/DI RC",018578006455
5003-44WCRC,"NBC COUP 4""WCCLAY-4""AC/DI RC",018578040137
5003-54RC,"NBC COUPLING 5""CLAY-5""AC/DI RC",018578048768
5003-66RC,"NBC COUP 6"" CLAY- 6"" AC/DI RC",018578011465
5003-66WCRC,"NBC COUP 6""CLAY-6"" AC/DI RC",018578040090
5003-88RC,"NBC COUPLING 8"" CLAY- 8"" AC/DI",018578012264
5003-88WCRC,"NBC CPLNG 8"" WC CLAY- 8"" AC/DI",018578046399
5004-1010RC,"NBC COUPL 10""CONC-10""CONC RC",018578009974
5004-1212LCRC,"NBC COUPL 12""CONC-12""CONC RC",018578014176
5004-1212RC,"NBC COUPL 12""CONC-12""CONC RC",018578010031
5004-44RC,"NBC COUPLING 4""CONC-4""CONC RC",018578009950
5004-66RC,"NBC COUPLING 6""CONC-6""CONC RC",018578009776
5004-88RC,"NBC COUPLING 8""CONC-8""CONC RC",018578009899
5006-1010LCRC,"NBC COUP 10""CONC-10""CI/PL LCRC",018578015012
5006-1010RC,"NBC COUPLING 10""CONC-10""CI/PL",018578010000
5006-1210RC,"NBC COUPL 12""CONC-10""CI/PL RC",018578040922
5006-1212LCRC,"NBC COUP 12""CONC-12""CI/PL LCRC",018578013810
5006-1212RC,"NBC COUPL 12""CONC-12""CI/PL RC",018578010024
5006-1515RC,"NBC Coup 15""CONC-15""CI/PL RC",018578019171
5006-1818RC,"NBC COUPL 18""CONC-18""CI/PL RC",018578011472
5006-2121RC,"COUP 21""CONC-21""CI/PL  RC NBC",018578046894
5006-2424RC,"COUP 24""CONC-24CI/PL RC NBC",018578042421
5006-2727RC,"NBC COUP 27""CONC-27""CI/PL RC",018578048638
5006-44LCRC,"COUP 4""LARGE CONC - 4""CI/PL RC",018578039971
5006-44RC,"NBC COUP 4""CON-4"" XHCI/SCH40RC",018578009967
5006-44SDRRC,"NBC COUP4"" CON-4"" NH/SW/SDR RC",018578039803
5006-46RC,"NBC COUPLING 4""CONC-6""CI/PL",018578015128
5006-64RC,"NBC COUP 6""CONC-4""CI/PL SCH-40",018578017214
5006-66LCRC,"6""LG CONC-6""XHCI,SCH40",018578039889
5006-66LCSDRRC,"6""LG CONC-6""NHCI,SVCI,SDR35",018578039865
5006-66RC,"NBC COUPLING 6""CONC-6""CI/PL",018578009769
5006-68RC,"NBC COUPLING 6""CONC-8""CI/PL",018578019478
5006-86RC,"NBC COUPLING 8""CONC-6""CI/SCH40",018578015197
5006-86SDRRC,"NBC COUPLING 8""CONC-6""CI/SDR",018578035263
5006-88RC,"NBC COUPLING 8""CONC-8""CI/PL RC",018578009905
502-403,6x4 Donut,#N/A
502-601,6 X 6 DONUT,#N/A
504-139,4X1 DONUT,018578035324
504-205,4X2 DONUT,018578014800
504-217,4X2 DONUT,#N/A
504-260,4X2 DONUT,018578035331
504-305,4X3 DONUT,018578035362
504-317,4X3 DONUT,#N/A
504-401,4X4 DONUT,018578002043
504-405,4X4 DONUT,018578002586
504-417,4X4 DONUT,018578035379
504-503,4X4 DONUT,018578048362
504-505,4X4 DONUT,018578035386
504-515,4X4 DONUT,018578035393
504-P,"PLUG 4"" CONC BELL",018578035317
5051-1010RC,NBC COUPLING 10X10 AC/DI-CI/PL,018578011533
5051-12-8RC,"NBC COUP 12""AC/DI-8""CI/PL RC",018578048966
5051-1212RC,"NBC COUPLING 12""AC/DI-12""CI/PL",018578011540
5051-1215RC,"NBC COUPLING 12""AC/DI-15""CI/PL",018578020481
5051-1515RC,"NBC COUP 15""AC/DI-15""CI/PL RC",018578048386
5051-1615RC,"NBC COUPLING 16""AC/DI-15""CI/PL",018578013926
5051-1818RC,NBC COUP 18X18 AC/DI-CI/PL RC,018578046313
5051-2424RC,NBC COUP 24x24 AC/DI-CI/PL RC,018578047662
5051-44RC,NBC COUPLING 4X4 AC/DI-CI/PL R,018578009875
5051-46RC,"NBC COUPL 4""AC/DI-6""CI/PL RC",018578011168
5051-64RC,"NBC COUPLING 6""AC/DI-4CI/PL RC",018578011281
5051-66RC,NBC COUPLING 6X6 AC/DI-CI/PL,018578009721
5051-84RC,NBC COUPLING 8X4 AC/DI-CI/PL,018578040366
5051-88RC,NBC COUPLING 8X8 AC/DI-CI/PL,018578011304
5055-10-8RC,"NBC COUP 10""AC/DI-8""AC/DI RC",#N/A
5055-1010RC,"NBC Coupling 10""AC/DI-10""AC/DI",018578012301
5055-1212RC,"NBC COUPLING 12""AC/DI-12""AC/DI",018578019737
5055-1512RC,"NBC COUP 15""AC/DIx12""AC/DI RC",018578047709
5055-1515RC,NBC COUPLING 15x15 AC/DI RC,#N/A
5055-1818RC,NBC COUP 18X18 AC/DI-AC/DI RC,018578047310
5055-44RC,"NBC COUP 4""AC/DI-4""AC/DI RC",018578009882
5055-66RC,NBC COUPLING 6X6 AC/DI-AC/DI,018578011397
5055-88RC,NBC COUPLING 8X8 AC/DI-AC/DI,018578011403
5056-10-8RC,"NBC COUP.10X8""CI/PL RC SCH40",018578039377
5056-1010RC,"NBC COUP. 10""CI/PL-10""CI/PL RC",018578009912
5056-12-8RC,"NBC COUP 12""CI/PL-8""CI/PL RC",018578047020
5056-1210EBRC,"NBC COUP12CI/PL -10""CI/PL EBRC",#N/A
5056-1210RC,"NBC COUP.12""CI/PL -10""CI/PL RC",018578039384
5056-1212RC,"NBC COUP 12""CI/PL-12""CI/PL RC",018578009981
5056-1512EBRC,"NBC COUP15""CI/PL-12""CI/PL EBRC",018578047426
5056-1512RC,"COUPLING 15""CI/PL-12""CI/PL RC",#N/A
5056-1515RC,"NBC COUPL 15""CI/PL-15""CI/PL RC",018578010048
5056-1815RC,"NBC COUPL 18""CI/PL-15""CI/PL RC",#N/A
5056-1818RC,"NBC COUPL 18""CI/PL-18CI/PL RC",018578010062
5056-2121RC,"COUP 21""CI/PL-21""CI/PL RC NBC",018578047570
5056-2424RC,"NBC COUPL 24""CI/PL-24""CI/PL RC",018578010086
5056-2727RC,"NBC COUP 27""CI/PL-27""CI/PL RC",#N/A
5056-33RC,"NBC COUPL 3""CI/PL-3""CI/PL RC",018578011519
5056-43RC,NBC COUPLING 4X3 CI/PL RC,018578009813
5056-44RC,"NBC COUP, 4"" CI/PL-4""CI/PL RC",018578009820
5056-44XLRC,NBC COUPLING 4X4 CI/PL XL RC,#N/A
5056-54RC,NBC COUPLING 5X4 CI/PL RC,018578013940
5056-55RC,NBC COUPLING 5X5 CI/PL RC,018578013957
5056-62RC,"NBC COUP 6""CI/PL-2""CI/PL RC",018578047327
5056-64EBSDRRC,"NBCCOUPLING 6""CI/PL-4""CI/PL RC",018578035416
5056-64RC,"NBCCOUPLING 6""CI/PL-4""CI/PL RC",018578009714
5056-65RC,"NBC Coupling 6""CI/PL-5""CI/PL R",018578018952
5056-66RC,"NBC 6""CI/PL-6""CI/PL RC S40&SDR",018578009707
5056-86RC,"NBC 8""CI/PL-6""CI/PL RC S40&SDR",018578012622
5056-88RC,"NBC COUP. 8""CI/PL-8""CI/PL RC",018578009806
5056-88RC-WF,"NBC COUP. 8""CI/PL-8""CI/PL RC",#N/A
5057-1010LCRC,NBC Coupling 10 Conc-10 AC/DI,018578035423
5057-1010RC,"NBC Coup. 10"" Conc-10"" AC/DI R",018578018167
5057-1212LCRC,NBC Coupling 12 Conc-12 AC/DI,018578035430
5057-1212RC,NBC Coupling 12 Conc-12 AC/DI,018578018150
5057-88RC,"NBC COUPLING 8""CONC-8"" DI REPA",018578041042
5072-1212RC,NBC COUP 12X12 ULTRA RIB/DI RC,018578046450
5072-1818RC,NBC COUPLING 18X18 ETI/DI RC,018578046504
5073-1210RC,COUP 12X10 ULTRA RIB/DI RC,018578046443
510-401,6 X 4 DONUT,#N/A
510-423,6 X 4 DONUT,018578035447
550-316HT,SIZE 550 HT CLAMP 316SS,018578035461
6-102-403,6X4 DONUT,018578041059
6-102-405,6X4 DONUT,018578035874
6-102-601,6X6 DONUT,018578035881
6-102-605,6X6 DONUT,018578035904
6-102-609,6X6 DONUT,018578035911
6-104-405,6X4 DONUT,018578035935
6-104-417,6X4 DONUT,018578045958
6-104-603,6X6 DONUT,018578035942
6-128-300,SIZE 128 AIS CLAMP 300SS,018578039551
6-140-300,SIZE 140 AIS CLAMP 300SS,018578039568
6-152-300,SIZE 152 AIS CLAMP 300SS,018578039575
6-164-300,SIZE 164 AIS CLAMP 300SS,018578039582
6-184-300,SIZE 184 AIS CLAMP 300SS,018578039599
6-212-300,SIZE 212 AIS CLAMP 300SS,018578039605
6-248-300,SIZE 248 AIS CLAMP 300SS,018578039612
6.000-2.380R,6.000 X 2.380 REDUCER,018578048164
6.000-3.380R,6.000 X 3.380 REDUCER,#N/A
6.000-3.500R,6.000 X 3.500 REDUCER,#N/A
6.000-4.380R,6.000 X 4.380 REDUCER,018578019072
6.000-4.500R,6.000 X 4.500 REDUCER,018578035485
6.000-4.500REB,6.000 X 4.500 ECC. REDUCER,#N/A
6.000-5.000R,6.000 X 5.000 REDUCER,018578035492
6.000-5.500R,6.000 X 5.500R,#N/A
6.375-305,6X3 DONUT,018578035546
6.375-401,6X4 DONUT,018578002845
6.375-403,6X4 DONUT,018578035553
6.375-405,6X4 DONUT,018578008335
6.375-425,6X4 DONUT,018578035560
6.380-1.315R,6.380 X 1.315 REDUCER,018578035591
6.380-1.900R,6.380 X 1.900 REDUCER,018578035621
6.380-1.900REB,6.380 X 1.900 REDUCER ECCENTRI,018578035638
6.380-2.125R,6.380-2.125 REDUCER,018578035652
6.380-2.380R,6.380 X 2.380 REDUCER,018578008809
6.380-2.380REB,6.380X2.380 ECCENTRIC REDUCER,018578035669
6.380-2.500R,6.380 X 2.500 REDUCER,018578035676
6.380-3.000R,6.380X3.000 REDUCER,018578007161
6.380-3.125R,6.380X3.125 REDUCER,018578048508
6.380-3.380R,6.380 X 3.380 REDUCER,018578035683
6.380-3.380REB,6.380X3.380 ECCENTRIC REDUCER,018578008397
6.380-3.500R,6.380 X 3.500 REDUCER,018578017993
6.380-3.500REB,6.380X3.500 ECCENTRIC REDUCER,018578035690
6.380-4.170R,6.380 X 4.170 REDUCER,018578014527
6.380-4.380R,6.380 X 4.380 REDUCER,018578008380
6.380-4.380REB,6.380X4.380 ECCENTRIC REDUCER,018578002005
6.380-4.500R,6.380 X 4.500 REDUCER,018578017269
6.380-4.500REB,6.380X4.500 ECCENTRIC REDUCER,018578009035
6.380-4.750R,6.380 X 4.750 REDUCER,018578012714
6.380-5.000R,6.380 X 5.000 REDUCER,018578008304
6.380-5.000REB,6.380X5.000 ECCENTRIC REDUCER,018578035706
6.380-5.125R,6.380 X 5.125 REDUCER,018578035713
6.380-5.125REB,6.380 X 5.125 ECCENTRIC,#N/A
6.380-5.500R,6.380 X 5.500 REDUCER,018578001060
6.380-5.500REB,6.380X5.500 ECCENTRIC REDUCER,018578035720
6.380-5.620R,6.380 X 5.620 REDUCER,018578017115
6.380-5.620REB,6.380 X 5.620 ECC REDUCER,018578035737
6.380-5.900R,6.380 X 5.900 REDUCER,018578005419
6.380-5.900REB,6.380X5.900 ECCENTRIC REDUCER,018578035744
6.625-1.050R,6.625-1.050 REDUCER,#N/A
6.625-1.625R,6.625-1.625 REDUCER,018578039711
6.625-1.625REB,6.625-1.625 RED ECCENTRIC,018578035775
6.625-1.900R,6.625 X 1.900 REDUCER,018578035782
6.625-1.900REB,6.625 X 1.900 ECC. REDUCER,#N/A
6.625-2.380R,6.625 X 2.380 REDUCER,018578035799
6.625-2.380REB,6.625-2.380 RED ECCENTRIC,018578035805
6.625-2.500R,6.625 X 2.500 REDUCER,#N/A
6.625-3.000R,6.625 X 3.000 REDUCER,018578035812
6.625-3.500R,6.625 X 3.500 REDUCER,#N/A
6.625-3.500REB,6.625 X 3.500 ECC. REDUCER,#N/A
6.625-3.960R,6.625 X 3.960 REDUCER,018578041493
6.625-4.170R,6.625 X 4.170 Reducer,018578047907
6.625-4.380R,6.625 X 4.380 REDUCER,018578014190
6.625-4.380REB,6.625 X 4.380 RED. ECCENTRIC,018578035836
6.625-4.500R,6.625 X 4.500 REDUCER,018578009615
6.625-4.500REB,6.625 X 4.500 RED. ECCENTRIC,018578009653
6.625-4.750R,6.625 X 4.750 REDUCER,018578017535
6.625-4.750REB,6.625 X 4.750 REDUCER ECCENTRI,#N/A
6.625-5.000R,6.625 X 5.000 REDUCER,018578018303
6.625-5.000REB,6.625 X 5.000 RED ECCENTRIC,018578047372
6.625-5.125R,6.625 X 5.125 REDUCER,018578035843
6.625-5.500R,6.625 X 5.500 REDUCER,018578014282
6.625-5.500REB,6.625 X 5.500 REDUCER ECCENTRI,018578035850
6.625-5.620R,6.625 x 5.620 REDUCER,018578035867
6.625-5.900R,6.625 X 5.900 REDUCER,018578013841
6.625-6.210R,6.625 X 6.210 REDUCER  PVC/COP,018578012653
6.625-P,"6"" PLUG",018578035751
600-316HT,SIZE 600 HT CLAMP 316SS,018578035973
6000LD17.40X14.38,COUPLING 6000 17.40 x 14.38,#N/A
6000LD17.40X15.70,COUPLING 6000 17.40 x 15.70,#N/A
6000LD17.40X17.40,COUPLING 6000 17.40 x 17.40,#N/A
6000LD22.50X13.20,COUPLING 6000 22.50 x 13.20,#N/A
6000LD22.60X15.30,COUPLING 6000 22.60 x 15.30,#N/A
6000LD22.80X21.60,COUPLING 6000 22.80 x 21.60,#N/A
6000LD23.00X18.70,LDC COUPLING 23.0 X 18.7 AIS,#N/A
6000LD24.10X21.60,COUPLING 6000 24.10 x 21.60,#N/A
6000LD24.50X19.50,COUPLING 6000 24.50 x 19.50,#N/A
6000LD25.80X21.60,COUPLING 6000 25.80 x 21.60,#N/A
6000LD25.80X24.80,COUPLING 6000 25.80 x 24.80,#N/A
6000LD26.43X21.60,COUPLING 6000 26.43 X 21.60,#N/A
6000LD26.60X22.04,COUPLING 6000 26.60X22.04,#N/A
6000LD31.50X25.80,COUPLING 6000 31.50X25.80,#N/A
6000LD33.50X28.00,COUPLING 6000 33.50X28.00,#N/A
6000LD36.00X32.00,COUPLING 6000 36.0X32.0,#N/A
6000LD37.00X32.00,COUPLING 6000 37.0X32.0,#N/A
6000LD37.00X37.00,COUPLING 6000 37.0X37.0,#N/A
6000LD38.00X36.00,COUPLING 6000 38.00 X 36.00,#N/A
6000LD38.30X38.30,COUPLING 6000 38.30 X 38.30,#N/A
6000LD41.50X36.00,COUPLING 6000 41.50 X 36.00,#N/A
6000LD42.00X38.30,COUPLING 6000 42.00 X 38.30,#N/A
6000LD42.00X42.00,LD COUPLING 42.00 X 42.00 AIS,#N/A
6000LD43.00X43.00,COUPLING 6000 43.00 X 43.00,#N/A
6000LD44.00X38.30,COUPLING 6000 44.00 X 38.30,#N/A
