catalog_number,description,upc
9318,DIE 6-32NC 1IN HEX,042526093180
9324,"DIE 8-32NC 1"" HEX",042526093241
9328,DIE 10-24NC 1 IN AAA,042526093289
9423,"DIE 1/4""-28NF 1"" HEX",042526094231
9427,DIE 5/16-18 NC 1 SH,042526094279
9429,"DIE 5/16""-24NF 1"" HEX",042526094293
9434,"DIE 3/8""-16NC 1"" HEX",042526094347
9436,"DIE 3/8""-24NF 1"" HEX",042526094361
9439,"DIE 7/16""-14NC 1"" HEX",042526094392
9440,"DIE 7/16""-20NF 1"" HEX",042526094408
9444,DIE 1/2IN-13NC 1IN HEX,042526094446
9445,"DIE 1/2""-20NF 1"" HEX",042526094453
9712,DIE 3-0.5MM 1IN HEX,042526097126
9717,"DIE 4-0.7MM 1"" HEX",042526097171
9718,"DIE 4-0.75MM 1"" HEX",042526097188
9731,DIE 7-1MM 1IN HEX,042526097317
9733,"DIE 8-1MM 1"" HEX",042526097331
9734,"DIE 8-1.25MM 1"" HEX",042526097348
9735,DIE 9-0 75MM 1IN HEX,042526097355
9736,"DIE 9-1MM 1"" HEX",042526097362
9737,"DIE 9-1 25MM 1"" HEX",042526097379
9738,"DIE 10-1MM 1"" HEX",042526097386
9739,DIE 10-1.25MM 1 IN HEX,042526097393
9740,"DIE 10-1.50MM 1"" HEX",042526097409
9741,"DIE 11-1.50MM 1"" HEX",042526097416
9742,"DIE 12-1.25MM 1"" HEX",042526097423
9743,DIE 12MM-1.5 1 SH,042526097430
9744,"DIE 12-1.75MM 1"" HEX",042526097447
10220,STEP DRL #20 9/16-1IN 8 SZ,038548102207
10221,STEP DRL #21 13/16-1-3/8IN 10 SZ,038548102214
10225,STEP DRL 4PC SET GP,038548102252
10231,STEP DRL #1 1/8-1/2IN 13 SZ,038548101019
10232,STEP DRL NO 2 3/16-1/2IN 6 SZ,038548101026
10233,STEP DRL #3 1/4-3/4IN 9 SZ,038548101033
10234,STEP DRL #4 3/16-7/8IN 12 SZ,038548101040
10235,STEP DRL #5 1/4-1-3/8IN 10 SZ,038548101057
10239,"STEP DRL #9 7/8 AND 1-1/8"" 2 SZ",038548102399
10310,"STEP DRL #10 1/2""",038548103105
11103,11103 STEP DRL #3M 6-18MM 7 SZ,038548111032
11104,11104 STEP DRL #4M 4-22MM 10 SZ,038548111049
11117,SPIRAL EXT + DRILL BIT 10PC SET,042526111174
11118,STRAIGHT EXT + DRILL BIT 10PC SET,024721111180
11119,EXTRCTR + DRL BIT 10PC SET,042526111198
11240,"SAW BLD 7-1/4"" 60T MASTER COMBINATION",024721112408
11830,CSB MARATHON 7-1/4 120T VINYL BLISTER,024721118301
11840,"SAW BLD 7-1/4"" 140T PLYWOOD/OSB/VENEER/",024721118400
11870,"SAW BLD 10"" 180T PLYWOOD/OSB/VENEER/",024721118707
12002,TAP WRENCH 1/4-1/2IN T-HNDL,042526120022
12008,"DIE STOCK 1"" RD HEX PLAIN""",042526120084
12016,GAUGE MTRC 16 LEAF THRD,042526120169
12018,GAUGE 18 LEAF THRD,042526120183
12021,TAP WRENCH #0-1/2 OFFSET HNDL,042526120213
12026,DIE STOCK #26 1IN SOLID HEX,042526120268
12050,TAP WRENCH #50 T-HANDLE,042526120503
12057,BLD CRCL 4 1/2 X 3/8,039404100375
12088,TAP + REAM WRENCH #88,042526120886
12092,DRL BIT FRAC GAUGE,042526177224
12115,TAP WRENCH #12-5/16 T-HANDLE,042526121159
12401,TAP WRENCH #0-1/4IN T-HNDL,042526110016
12411,DRL BIT 1/2 CNTRSINK 82' BLK OX CARD,042526124112
12412,DRL BIT 5/8 CNTRSINK 82' BLK OX CARD,042526124129
12413,DRL BIT 3/4 CNTRSINK 82' BLK OX CARD,042526124136
12421,TAP WRENCH #0-1/2IN OFFSET HNDL,042526124211
12428,DIE STOCK 1IN RD ADJ,024721124289
12435,DIE STOCK 1-1/2IN RD ADJ,042526110351
12436,"DIE STOCK 1-7/16"" HEX ADJ",042526124365
12445,DIE STOCK 2IN RD ADJ,024721124456
12446,DIE STOCK 1-13/16IN HEX ADJ,042526124464
12450,"TAP WRENCH 1/4-1/2"" 2IN1""",024721124500
12498,TAP WRENCH #1/4-1INADJ HNDL,042526124983
13700,R.O.S. STD. PAD,039404108968
13900,5 IN PSA STD PAD 332,039404111210
13904,5IN HOOK & LOOP REPLACEMENT PAD,039404111258
13909,5IN 5/8HOLE STD HL PD,039404102119
14011,5-1/2IN 24T IRWIN MARATHON Saw Blade,024721140111
14015,5-3/8IN 18T IRWIN MARATHON Saw Blade,024721140159
14017,5-3/8IN 24T IRWIN MARATHON Saw Blade,024721140173
14020,6-1/2IN 18T IRWIN MARATHON Saw Blade,024721140203
14023,6-1/2IN 40T IRWIN MARATHON Saw Blade,024721140234
14027,5-1/2IN 18T IRWIN MARATHON Saw Blade,024721140272
14028,7-1/4IN 18T IRWIN MARATHON Thin Kerf CSB,024721140289
14029,6-1/2IN 24T IRWIN MARATHON Saw Blade,024721140296
14030,7-1/4IN 24T IRWIN MARATHON Saw Blade,024721140302
14031,7-1/4IN 40T IRWIN MARATHON Saw Blade,024721140319
14053,8-1/4IN 40T IRWIN MARATHON Saw Blade,024721140531
14070,10IN 40T IRWIN MARATHON Saw Blade,024721140708
14074,10IN 60T IRWIN MARATHON Saw Blade,024721140746
14076,10IN 80T IRWIN MARATHON Saw Blade,024721140760
14080,12IN 40T IRWIN MARATHON Saw Blade,024721140807
14082,12IN 72T IRWIN MARATHON Saw Blade,024721140821
